2025-11-16 10:17:03,Sad,"[0, 0, 61, 0]"
2025-11-16 10:23:07,Neutral,"[0, 12, 0, 37]"
2025-11-16 11:16:56,Neutral,"[0, 1, 0, 7]"
2025-11-16 11:33:49,Happy,"[0, 32, 0, 0]"
2025-11-16 15:20:52,Happy,"[0, 81, 0, 0]"
2025-11-16 15:31:16,Happy,"[0, 20, 0, 0]"
2025-11-16 15:48:09,Neutral,"[0, 0, 0, 11]"
2025-11-16 15:56:16,Neutral,"[0, 0, 0, 8]"
2025-11-16 15:59:17,Neutral,"[0, 0, 0, 7]"
2025-11-16 16:04:49,Happy,"[np.float64(19.70332021341924), np.float64(27.829979667478945), np.float64(25.53036650456677), np.float64(26.93633361453505)]"
2025-11-16 16:16:33,Happy,"[np.float64(16.059343049813723), np.float64(33.95420337262896), np.float64(20.909951933470854), np.float64(29.076501644086463)]"
2025-11-16 16:22:20,Happy,"[np.float64(16.967137729626753), np.float64(38.75829581515585), np.float64(21.212236135548753), np.float64(23.062330319668654)]"
2025-11-16 16:30:34,Happy,"[np.float64(16.3510168349589), np.float64(34.3878070919748), np.float64(23.33240296672296), np.float64(25.92877310634333)]"
2025-11-16 16:38:10,Happy,"[np.float64(20.659769654015005), np.float64(31.816679729456933), np.float64(22.49481533037535), np.float64(25.028735286152713)]"
2025-11-16 16:46:19,Happy,"[np.float64(18.010124262264114), np.float64(37.82026104253481), np.float64(21.33941375078363), np.float64(22.830200944417445)]"
2025-11-16 16:59:14,Happy,"[np.float64(17.187342887162814), np.float64(35.17511422314685), np.float64(21.921052932391056), np.float64(25.71648995729928)]"
2025-11-16 17:14:54,Happy,"[np.float64(16.059343049813723), np.float64(33.95420337262896), np.float64(20.909951933470854), np.float64(29.076501644086463)]"
2025-11-16 17:24:49,Happy,"[np.float64(16.32533496345835), np.float64(34.19162089111812), np.float64(18.95265897323802), np.float64(30.530385172185525)]"
2025-11-16 17:50:44,Happy,"[np.float64(17.902312390253915), np.float64(36.09320686887505), np.float64(20.613202397036716), np.float64(25.39127834383433)]"
2025-11-16 18:48:18,Happy,"[np.float64(16.43124918010116), np.float64(33.424014097191126), np.float64(19.903988136468097), np.float64(30.240748586239608)]"
2025-11-16 20:23:26,Happy,"[np.float64(16.088494265118154), np.float64(33.98508300426554), np.float64(20.831104543350058), np.float64(29.095318187266244)]"
2025-11-16 20:35:09,Happy,"[np.float64(21.495205849293402), np.float64(33.5870647272312), np.float64(22.800857458610118), np.float64(22.11687196486527)]"
2025-11-17 08:51:14,Happy,"[0, 248, 0, 0]"
2025-11-17 09:07:07,Happy,"[np.float64(10.682453295431161), np.float64(47.52635206444351), np.float64(14.254513451898768), np.float64(27.536681188226574)]"
